,CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL,SMILES_check
0,A1042,Angiotensin II,4474-91-3,A01,L1021-01,1046.2,H2O,C50H71N13O12,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N.CC(=O)O,insoluble in DMSO; insoluble in EtOH; ≥100.2 mg/mL in H2O ,,Cardiovascular,Angiotensin Receptor,,https://www.apexbt.com/search.php?catalog=A1042,1
1,A1198,Levetiracetam,102767-28-2,A02,L1021-01,170.21,DMSO,C8H14N2O2,CCC(C(=O)N)N1CCCC1=O,≥25.4 mg/mL in H2O; ≥27.4 mg/mL in EtOH; ≥8.51 mg/mL in DMSO ,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,Antiepileptic drug,https://www.apexbt.com/search.php?catalog=A1198,1
2,A1206,Daptomycin,103060-53-3,A03,L1021-01,1620.67,DMSO,C72H101N17O26,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,≥81.03 mg/mL in H2O; ≥81.05 mg/mL in DMSO; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Calcium-dependent antibiotic,https://www.apexbt.com/search.php?catalog=A1206,1
3,A1229,Lansoprazole,103577-45-3,A04,L1021-01,369.36,DMSO,C16H14F3N3O2S,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,insoluble in H2O; ≥10.32 mg/mL in EtOH with ultrasonic; ≥18.47 mg/mL in DMSO ,Free Base,Membrane Transporter/Ion Channel,Proton Pump,"H+,K+-ATPase inhibitor",https://www.apexbt.com/search.php?catalog=A1229,1
4,A1267,Adapalene,106685-40-9,A05,L1021-01,412.52,DMSO,C28H28O3,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,insoluble in H2O; insoluble in EtOH; ≥10.31 mg/mL in DMSO ,Free Base,Others,Others,RARβ and RARγ agonist,https://www.apexbt.com/search.php?catalog=A1267,1
5,A1295,Granisetron HCl,107007-99-8,A06,L1021-01,348.87,H2O,C18H24N4O·HCl,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C.Cl,insoluble in DMSO; ≥17.44 mg/mL in H2O; ≥17.44 mg/mL in DMSO with gentle warming,Hydrochloride,Neuroscience,5-HT Receptor,5-HT3 receptor antagonist,https://www.apexbt.com/search.php?catalog=A1295,1
6,A1296,Exemestane,107868-30-4,A07,L1021-01,296.4,DMSO,C20H24O2,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,insoluble in H2O; ≥14.82 mg/mL in DMSO; ≥15.23 mg/mL in EtOH ,Free Base,Endocrinology and Hormones,Aromatase,"Steroidal aromatase inhibitor,selective and irreversible",https://www.apexbt.com/search.php?catalog=A1296,1
7,A1307,Letrozole,112809-51-5,A08,L1021-01,285.3,DMSO,C17H11N5,N#CC1=CC=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,insoluble in EtOH;insoluble in H2O;≥14.265 mg/mL in DMSO ,Free Base,Endocrinology and Hormones,Aromatase,Non-steroidal aromatase inhibitor,https://www.apexbt.com/search.php?catalog=A1307,1
8,A1313,Gatifloxacin,112811-59-3,A09,L1021-01,375.39,DMSO,C19H22FN3O4,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,insoluble in EtOH; insoluble in H2O; ≥3.75 mg/mL in DMSO with gentle warming,Free Base,DNA Damage/DNA Repair,Topoisomerase,"Fluoroquinolone antibiotic,inhibits bacterial TOPO II",https://www.apexbt.com/search.php?catalog=A1313,1
9,A1334,Mosapride Citrate,112885-42-4,A10,L1021-01,614.02,DMSO,C21H25ClFN3O3·C6H8O7,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,≥30.7 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Citrate,Neuroscience,5-HT Receptor,5-HT receptor agonist,https://www.apexbt.com/search.php?catalog=A1334,1
10,A1366,Rocuronium Bromide,119302-91-9,A11,L1021-01,609.68,DMSO,C32H53N2O4·Br,CC(=O)OC1C(CC2C1(CCC3C2CCC4C3(CC(C(C4)O)N5CCOCC5)C)C)[N+]6(CCCC6)CC=C.[Br-],≥30.48 mg/mL in DMSO; ≥40.6 mg/mL in H2O; ≥58.4 mg/mL in EtOH ,Bromide,Neuroscience,AChR,TGF-βR I kinase inhibitor,https://www.apexbt.com/search.php?catalog=A1366,1
11,A1373,Biapenem,120410-24-4,B01,L1021-01,350.39,H2O,C15H18N4O4S,CC1C2C(C(=O)N2C(=C1SC3CN4C=NC=[N+]4C3)C(=O)[O-])C(C)O,≥18.65 mg/mL in H2O with gentle warming; insoluble in DMSO; insoluble in EtOH,,Microbiology & Virology,Antibiotic,Highly broad spectrum antibiotic agent,https://www.apexbt.com/search.php?catalog=A1373,1
12,A1379,Nelarabine,121032-29-9,B02,L1021-01,297.27,DMSO,C11H15N5O5,COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N,insoluble in EtOH; ≥14.85 mg/mL in DMSO; ≥2.77 mg/mL in H2O with gentle warming and ultrasonic,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Prodrug of ara-G for T-LBL/T-ALL,https://www.apexbt.com/search.php?catalog=A1379,1
13,A1402,Gemcitabine HCl,122111-03-9,B03,L1021-01,299.66,DMSO,C9H11F2N3O4·HCI,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F.Cl,≥10.1 mg/mL in H2O with ultrasonic; ≥2.64 mg/mL in EtOH with gentle warming and ultrasonic; ≥7.49 mg/mL in H2O ,Hydrochloride,DNA Damage/DNA Repair,DNA Synthesis,"Inhibits DNA synthesis,deoxycytidine analog",https://www.apexbt.com/search.php?catalog=A1402,0
14,A1404,Rigosertib sodium salt,1225497-78-8,B04,L1021-01,473.47,DMSO,C21H24NNaO8S,COC1=C(C=C(C=C1)CS(=O)(=O)C=CC2=C(C=C(C=C2OC)OC)OC)NCC(=O)[O-].[Na+],≥23.65 mg/mL in DMSO; insoluble in EtOH; ≥52.3 mg/mL in H2O ,Sodium Salt,Cell Cycle/Checkpoint,PLK,Plk1 inhibitor,https://www.apexbt.com/search.php?catalog=A1404,1
15,A1412,Clofarabine,123318-82-1,B05,L1021-01,303.68,DMSO,C10H11ClFN5O3,C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl,insoluble in H2O; insoluble in EtOH; ≥15.18 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,"Antimetabolite,inhibit DNA polymerase and ribonucleotide reductase",https://www.apexbt.com/search.php?catalog=A1412,1
16,A1425,Losartan Potassium (DuP 753),124750-99-8,B06,L1021-01,461,DMSO,C22H22ClKN6O,ClC1=C(CO)N(C(CCCC)=N1)CC(C=C2)=CC=C2C3=CC=CC=C3C4=N[N-]N=N4.[K+],≥21.35 mg/mL in DMSO; ≥42.9 mg/mL in H2O; ≥47.7 mg/mL in EtOH ,Potassium,Endocrinology and Hormones,RAAS,Angiotensin AT1 receptor antagonist,https://www.apexbt.com/search.php?catalog=A1425,1
17,A1428,"Fulvestrant (ICI 182,780)",129453-61-8,B07,L1021-01,606.77,DMSO,C32H47F5O3S,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,≥30.35 mg/mL in DMSO; insoluble in H2O; ≥58.9 mg/mL in EtOH ,Free Base,Endocrinology and Hormones,Estrogen/progestogen Receptor,"Estrogen receptor antagonist,high affinity",https://www.apexbt.com/search.php?catalog=A1428,1
18,A1435,CP-945598 HCl,686347-12-6,B08,L1021-01,546.88,DMSO,C25H25Cl2N7O·HCl,CCNC1(CCN(CC1)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl)C(=O)N.Cl,≥27.35 mg/mL in DMSO with gentle warming; insoluble in H2O; insoluble in EtOH,,GPCR/G protein,Cannabinoid Receptor,"CB1 antagonist,selective and high affinity",https://www.apexbt.com/search.php?catalog=A1435,1
19,A1447,Cilnidipine,132203-70-4,B09,L1021-01,492.52,DMSO,C27H28N2O7,CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,≥24.63 mg/mL in DMSO; insoluble in H2O; ≥6.1 mg/mL in EtOH with ultrasonic,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,Blocker of Dual L- and N-type calcium channel,https://www.apexbt.com/search.php?catalog=A1447,1
20,A1450,Lidocaine,137-58-6,B10,L1021-01,234.34,DMSO,C14H22N2O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,insoluble in H2O; ≥11.72 mg/mL in DMSO; ≥227.27 mg/mL in EtOH ,Free Base,Neuroscience,Histamine Receptor,Anasthetic and class Ib antiarrhythmic agent,https://www.apexbt.com/search.php?catalog=A1450,1
21,A1602,"Dexrazoxane HCl (ICRF-187, ADR-529)",149003-01-0,B11,L1021-01,304.73,DMSO,C11H16N4O4·HCl,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2.Cl,insoluble in EtOH; ≥15.24 mg/mL in DMSO; ≥16 mg/mL in H2O ,Hydrochloride,DNA Damage/DNA Repair,Topoisomerase,"Topoisomerase II inhibitor,intracellular ion chelator,cardioprotective agent",https://www.apexbt.com/search.php?catalog=A1602,1
22,A1607,Prasugrel,150322-43-3,C01,L1021-01,373.44,DMSO,C20H20FNO3S,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,insoluble in H2O; insoluble in EtOH; ≥6.22 mg/mL in DMSO ,Free Base,Neuroscience,P2 Receptor,ADP receptor inhibitor,https://www.apexbt.com/search.php?catalog=A1607,1
23,A1630,"Epothilone B (EPO906, Patupilone)",152044-54-7,C02,L1021-01,507.68,DMSO,C27H41NO6S,CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,≥25.4 mg/mL in DMSO; insoluble in H2O; ≥12.44 mg/mL in EtOH ,Free Base,Cell Cycle/Checkpoint,Microtubule/Tubulin,Microtubule stabilizing macrolide,https://www.apexbt.com/search.php?catalog=A1630,1
24,A1652,Dimesna,16208-51-8,C03,L1021-01,326.34,DMSO,C4H8Na2O6S4,C(CS(=O)(=O)[O-])SSCCS(=O)(=O)[O-].[Na+].[Na+],insoluble in EtOH; ≥16.35 mg/mL in DMSO; ≥58.6 mg/mL in H2O ,,Others,Others,Uroprotective agent,https://www.apexbt.com/search.php?catalog=A1652,1
25,A1659,Dutasteride,164656-23-9,C04,L1021-01,528.53,DMSO,C27H30F6N2O2,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,≥26.43 mg/mL in DMSO; insoluble in EtOH; ≥13.75 mg/mL in H2O with ultrasonic,Free Base,Endocrinology and Hormones,5-alpha Reductase,5-alpha-reductase inhibitor,https://www.apexbt.com/search.php?catalog=A1659,1
26,A1664,Celecoxib,169590-42-5,C05,L1021-01,381.37,DMSO,C17H14F3N3O2S,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,insoluble in H2O; ≥16.8 mg/mL in EtOH; ≥19.07 mg/mL in DMSO ,Free Base,Neuroscience,COX,Selective cyclooxygenase-2 (COX-2) inhibitor,https://www.apexbt.com/search.php?catalog=A1664,1
27,A1670,Enzastaurin (LY317615),170364-57-5,C06,L1021-01,515.61,DMSO,C32H29N5O2,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,insoluble in EtOH; insoluble in H2O; ≥8.59 mg/mL in DMSO ,Free Base,TGF-β / Smad Signaling,PKC,"PKC beta inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A1670,1
28,A1684,Aprepitant,170729-80-3,C07,L1021-01,534.43,DMSO,C23H21F7N4O3,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)NN3)C4=CC=C(C=C4)F,≥26.72 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Neuroscience,Substance P/NK1 Receptor,Substance P (SP) inhibitor,https://www.apexbt.com/search.php?catalog=A1684,1
29,A1718,Posaconazole,171228-49-2,C08,L1021-01,700.78,DMSO,C37H42F2N8O4,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,≥35.04 mg/mL in DMSO; insoluble in H2O; ≥2.55 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,C14ɑ demethylase,Sterol C14ɑ demethylase inhibitor,https://www.apexbt.com/search.php?catalog=A1718,1
30,A1720,"Duvelisib (IPI-145, INK1197)",1201438-56-3,C09,L1021-01,416.86,DMSO,C22H17ClN6O,CC(C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,≥20.84 mg/mL in DMSO; insoluble in H2O; ≥24.9 mg/mL in EtOH ,Free Base,PI3K/Akt/mTOR Signaling,PI3K,PI3K-δ/PI3K-γ inhibitor,https://www.apexbt.com/search.php?catalog=A1720,0
31,A1723,"Roscovitine (Seliciclib,CYC202)",186692-46-6,C10,L1021-01,354.45,DMSO,C19H26N6O,CCC(CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3)N=CN2C(C)C,insoluble in H2O; ≥17.72 mg/mL in DMSO; ≥53.5 mg/mL in EtOH ,Free Base,Cell Cycle/Checkpoint,Cyclin-Dependent Kinases,"CDK inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A1723,1
32,A1736,PA-824,187235-37-6,C11,L1021-01,359.26,DMSO,C14H12F3N3O5,C1C(COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F,insoluble in EtOH; insoluble in H2O; ≥17.85 mg/mL in DMSO ,,Others,Others,,https://www.apexbt.com/search.php?catalog=A1736,1
33,A1745,Galanthamine HBr,1953-04-4,D01,L1021-01,368.27,DMSO,C17H21NO3·HBr,COC1=CC=C2C3=C1O[C@]4([H])[C@]3(C=C[C@H](O)C4)CCN(C)C2.Br,insoluble in ETOH; ≥36.9 mg/mL in H2O with gentle warming and ultrasonic; ≥4.60 mg/mL in DMSO ,Hydrobromide,Neuroscience,AChR,Acetylcholinesterase inhibitor,https://www.apexbt.com/search.php?catalog=A1745,0
